一一 逐一
敏锐 灵敏
救兵 援军
救死扶伤 治病救人
救济 布施 抢救 救助 援助 捐赠 施舍 拯救 救援
救火员 消防员
救火投薪 扬汤止沸
教养 教化
教唆 指使
教学 教授教养
教导 教诲 教训
教诲 教育
敝宅 寒家
敢于 勇于
散乱 狼藉
散伙 分伙
散佚 散逸
散布 漫衍
散播 散布
散步 漫步
散逸 闲逸
敦厚 敦朴
敦朴 老诚 憨厚
敦睦 亲善
敬仰 敬佩
敬佩 佩服
敬慎 恪慎
敬慕 仰慕 景仰
敬拜 膜拜
敬服 爱惜 尊崇 爱护
敬畏 畏敬
敬重 恭敬 敬服
数日 很多天
数量 数目
敲榨勒索 软硬兼取
敲诈 欺诈
敲诈勒索 巧取豪夺
整个 全部
整天 成天
整年 全年
整日 全日
整理 收拾整顿 清算
整顿 整理
整齐 整洁
敷衍 马虎 对付 唐塞 搪塞 塞责
敷衍了事 马马虎虎
文定 订婚
文房四宝 纸墨笔砚
文移 公牍
文籍 典籍
文过饰非 掩罪藏恶
文采 文彩
文静 娴静
文风不动 纹丝不动
斑点 雀斑 黑点
斑白 花白
斑纹 花纹
斑驳陆离 光怪陆离
斗丽 争艳
斗南一人 旷世一人
斗室 小房
斗志昂扬 意气风发
斗粟囊金 米珠薪贵
斗趣儿 逗趣儿
料中 估中
料事如神 臆则屡中
料想 意料
斡旋 调停
斤斤计较 琐屑较量
斥候 标兵
斥责 叱责
斥革 革退
斥骂 诃斥
斧正 赐正 示正 匡正
斩新 崭新
斩柴 伐木
断交 决绝
断定 判定
断念 死心
断气 气绝
断港绝潢 穷途末路 走头无路 走投无路
断然 决然 决然毅然
断绝 隔离 拒却 间断中止
断送 就义 捐躯 葬送
新奇 别致
新房 新居
新苗 嫩芽
新颖 新奇
新鲜 新颖
斲丧 消耗
方丈 住持
方丈和尚 当家和尚
方便 便利 轻易 利便
方兴未艾 如日中天 方兴日盛 旭日东升
方剂 丹方 方子
方向 标的目的 偏向
方士 术士
方寸已乱 心慌意乱
方式 体式格局 体例
方才 刚刚
方方面面 各个方面
方正 朴直
方法 方式
施主 檀越
施医 赠医
施礼 见礼
施舍 恩赐
施行 实施
旁征博引 引经据典
旁观 观察迟疑 傍观
旁门 歪路
旅客 搭客
旅店 酒店 旅舍 旅社 旅馆
旅舍 客店
旅费 盘费盘川 盘缠 盘缠盘川
旋涡 漩涡
旋绕 缭绕
旋转 扭转
旋里 回乡
旌旗 旗子 旗帜
旗号 灯号
旗帜 旗号
旗手 旗头
旗鼓相当 旗敌相当
无一生还 全军尽没
无上 无尚
无动于中 无动于衷
无可非议 情有可原
无地自容 愧汗怍人
无宁 毋宁
无庸 毋庸
无心 无意
无所不包 包罗万象
无所不至 无微不至
无所适从 莫衷一是
无拘无束 自由自在
无比 非常
无法 没法
无法动弹 寸步难移
无法计算 难以估计
无牵无挂 无忧无虑
无益于 不利于
无知 蒙昧
无穷 无限
无端 无故
无精打采 无精打彩
无能为力 力所不及
无视 疏忽
无论 不管
无足挂齿 不足介意
无边无涯 无边无际
无边无际 一望无际
无阻畅通 畅通无阻
无非 不过
无须 不必
日中则昃 盛极必衰
日久天长 经年累月
日后 往后
日夜 昼夜
日常 平常
日暮途穷 山穷水尽
日月如梭 光阴似箭
日积月累 穷年累月
日蚀 日食
日记 日志
日趋 日益
旦夕 晨夕 夙夜迟早
旦角 花旦
旧事 往事
旧交 旧友
旧债 宿债
旧友 故人故交
旧址 原址
旧居 故居
旧帐 陈帐 宿帐
旧恨 宿恨 宿怨
旧病 宿病
旧调重弹 老生常谈
早先 起初
早晚 日夕
早晨 凌晨
早起 夙兴 夙起
早餐 早饭
旬日 十日
时不我待 时不再来
时代 时期
时价 时值 市价
时候 时辰 时刻
时光 光阴
时势 时局 时事
时常 经常
时日 光阴
时时 不时
时期 期间
时机 机会
时来运转 否极泰来
时间 时候
时髦 时兴
旷古 太古
旷课 缺课
旷达 奔放
旷野 田野
旺盛 兴旺
昂扬 高昂
昂首 举头
昌盛 兴盛
明了 清楚明了 了然 明晰
明亮 通亮 敞亮
明净 清白
明哲保身 一尘不染
明器 冥具 冥器
明日黄花 时过境迁
明显 显著 较着 明明 显明 显着
明晃晃 亮堂堂
明晰 了了
明朗 清明 晴明 清明明亮 开阔爽朗 清朗 晴朗
明朝 明代
明枪暗箭 明争暗斗
明火执仗 明目张胆
明白 邃晓 分明 理解 明了 清楚 认识打听 懂得 明确 大白 领略 清楚明明 晓畅
明目张胆 堂堂皇皇 所行无忌
明示 昭示
明见万里 明鉴万里
明镜高悬 秦镜高悬
昏倒 昏迷
昏天黑地 天昏地暗
昏头昏脑 晕头转向
昏暗 阴暗 幽暗
昏瞶 颟顸
昏迷 昏厥 晕厥
昏黄 朦胧
易患 易得
易服 换衣
昔不如今 今是昨非
昔人 古人
昔日 旧日
星期四 木曜日
星期日 日曜日
星河 银河
星罗棋布 鳞次栉比
星辰 星斗
映射 映照
春光 春景 春景春色
春天 春季
春宫 秘戏图
春情 春心
春秋 年龄
春联 对联
春花秋月 月下花前
春风得意 喜气洋洋
昭雪 平反
是不是 是否是
是否 是不是
是非 长短
是非分明 明辨是非
是非黑白 青红皂白
昼寝 午睡
显然 明显
显现 展现 闪现
显着 光鲜明显
显而易见 不言而喻
显露 显现
显露表露 流露透露
晃动 晃悠
晃悠 晃荡
晋升 提升
晋级 升级
晓得 知道
晖映 照耀
晚景 暮景暮年
晚餐 晚饭
晦暗 昏暗
晦涩 艰涩
晨光 晨曦
晨安 早安
晨风 晓风
普度众生 普济群生 普渡众生
普通 通俗
普遍 遍及
景仰 钦慕
景况 情状
景致 景色
景色 风景
景象 气象 情景
智勇双全 大智大勇
智囊 军师
智慧 聪明
暖乎乎 暖呼呼
暖和 和暖 和煦 温煦 温顺 和缓
暗中 黑暗
暗号 记号
暗地里 背后
暗害 暗杀
暗射 影射
暗度陈仓 暗渡陈仓
暗影 阴影
暗斗 冷战
暗昧 含糊
暗杀 暗算
暗沟 阴沟
暗淡 昏暗
暗潮 暗流
暗澹 惨然
暗盘 黑市
暗码 密码
暗笑 窃笑
暗算 暗害
暗箭 冷箭
暗箭伤人 含沙射影
暗藏 隐藏
暗语 隐语
暗里 私下
暗香 幽香
暧昧 暗昧
暮年 晚年
暮景 晚景
暮气 死气 老气
暮秋 深秋
暴光 曝光
暴动 暴乱
暴发 爆发
暴徒 恶徒 坏人 奸人 大盗
暴戾恣睢 穷凶极恶
暴政 虐政
暴虐 凶狠 残酷 惨酷 残暴 凶横 残忍
暴跌 狂跌
暴跳如雷 大发雷霆
暴躁 急躁 躁急 浮躁
暴露 露出 表露
暴露无遗 原形毕露
暴风 狂风
曩昔 以前 畴昔
曲岸 曲堤
曲折 崎岖 盘曲 弯曲勉强
曲折小路 羊肠小道
曲直 是曲
曲解 歪曲 误解
更为 更加
更加 加倍
更换 替换
更易 更容易
更次 更头
更深人静 夜阑人静
更甚 愈甚
更阑 深宵 夜阑
更鼓敲尽 铜漏滴尽
替人 替身
替代 替换
最佳 最好
最先 最早
最常见 最多见
最终 终究
最让 最使
最近 比来
最高级 第一流
月下花前 花前月下
月尾 月底
月晦 月终
月朔 初一
月牙 新月
月芽 月牙
月蚀 月食
有伤风化 伤风败俗
有利 有益
有名 着名
有声有色 有条有理
有头有尾 自始自终
有年 丰年
有意 成心
有效 有用
有数 稀有
有机可乘 有隙可乘
有板有眼 有声有色
有没有 有无
有身 怀孕
朋侪 友人 朋友
朋分 瓜分 豆割
朋友 伴侣 同伙
朋比为奸 狼狈为奸
服从 恪守 遵守 功用 效率 坚守 从命 听从 遵从 遵命 听命 效用
服侍 奉侍
服帖 帖服
服毒 仰药
服膺 谨记
服饰 衣饰
朗读 朗诵
望梅止渴 画饼充饥
望眼将穿 望穿秋水
望穿秋水 望眼欲穿
望而却步 望而生畏
望见 瞥见
望远镜 千里镜
望风而逃 闻风丧胆
朝三暮四 反复无常
朝上进步 进取
朝夕 旦夕
朝晨 清早
朝梁暮陈 朝梁暮晋
朝气 生气
朝秦暮楚 朝三暮四
朝阳 旭日 向阳
朝霞 早霞
期待 等候
期近 在即
期间 时代
期限 刻日
木人石心 铁石心肠
木工 木匠
木料 木材
木柴 木料
木犀 木樨
木筏 木排
未亡人 寡妇
未免 不免难免
未入流 不够格
未几 不多 不久不多
未卜先知 料事如神
未可厚非 无可非议
未曾 不曾
未雨绸缪 有备无患
末了 最后 末端
末端 结尾 末尾
末节 小节
本事儿 当事者
本位主义 个人主义
本分 天职
本原 来源根基
本地 当地
本地货 土产
本子 簿本 簿子
本家儿 事主
本年 今年
本心 本旨 本意天良 良心 素心
本性 个性 赋性
本性难移 个性难改
本日 今日 今天
本末倒置 轻重倒置 舍本逐末 本末颠倒
本来 正本 原本
本源 根源
本相 原形 底细
本籍 原籍 祖籍
本色 本质
本质 素质
本身 自己
本钱 成本
本领 才智 才力 才具 手段 手腕 才干 技巧 材干 能力 伎俩 本事 才略 技能花样
朱紫 贵人
朴实 朴质 俭朴 俭省
朴拙 真诚
朴直 刚直 梗直 刚正 耿介 高洁
朴素 朴实
朴重 正直
机会 机遇
机伶 机灵
机动 灵活
机器 机械
机密 秘密 秘要
机智 机灵
机杼 心裁
机灵 机警 机敏 灵巧
机能 性能
机警 机智
机谋 霸术 权略
机遇 机缘 时机
朽迈 衰老
杀一儆百 杀一警百
杀害 杀戮 戕害
杀尾 煞尾
杀戮 殛毙
杀身成仁 成仁取义
杀鸡取卵 不留余地
杀鸡骇猴 杀一儆百
杂乱 混乱
杂务 庶务 琐务
杂沓 杂遝
权力 权利
权势 势力
权势巨子 权威
权术 权谋
权柄 权益
权谋 机谋
权贵 显贵
权门 豪门
材伎 材艺
村塾 村学
村夫 乡人
村子 村庄
村学 村校
村庄 村落
村落 村子
杜康 狂药
杜撰 诬捏
杜门不出 闭门不出
杞人忧天 庸人自扰
束之高阁 置之不理
束手无策 一筹莫展
束缚 约束 束厄局促
束装 整装
束身待罪 引颈就戮
条文 条则
条款 条目
条理分明 头头是道
条约 公约 合同
条记 笔记
来世 下世
来临 光降
来去 往来来往
来回 往返
来宾 宾客
来岁 明年
来往 交往 交游
来日 明天将来
来日诰日 明天
来源 滥觞 起原 来历
来由 出处 情由 理由 来因
来讲 来说
来路货 舶来品
来龙去脉 前因后果
杯弓蛇影 草木皆兵
杯水车薪 无济于事
杰出 卓异 精采 卓越
杳如黄鹤 去如黄鹤 海底捞针
杳无音信 泥牛入海
杳杳无踪 鸿飞冥冥
松弛 松懈 败坏
板屋 木屋
板滞 呆板
极乐世界 神仙世界
极其 极为
极刑 死刑
极力 死力
极少 少少
极尽描摹 淋漓尽致
极峰 山顶颠峰
极度 极端
极新 崭新
极目 纵目
极重繁重 深重 沉重
构思 构想
构成 组成
构筑 修建
构词惑众 造谣生事
构造 机关 组织
枉费 白费
枉费心机 白费心血
枉驾 屈驾
林林总总 各色各样 各种各样
枚举 列举
果断 判断 武断
果然 果真
枝节横生 添枝加叶
枢纽关头 关节
枢路 要津
枪弹 子弹
枪支 枪枝
枯燥 死板
枯燥乏味 索然无味
枯荣 隆替
枯败 枯萎
枵腹 空腹
架式 架势
架空 排挤
枷锁 桎梏
柑桔 柑橘
柔嫩 柔滑 优柔
柔美 优美
柔软 柔嫩
查办 查究
查察 检察
查对 核对
查抄 搜查 检查
查究 核办
查考 覆按
查访 察访
查问 盘问
查验 检验
柳眉倒竖 杏眼圆睁
柴炭 木炭
标准 尺度
标新立异 独树一帜
标致 美丽
标记 标志 符号
标语 口号
标题 题目
栉风沐雨 风尘仆仆 披星戴月
树怨 结怨
树模 示范
树立 建立
树范 树模
栗六庸才 庸庸碌碌
校对 校订
校订 校正
校阅 检阅校对
校阅阅兵 检阅
栩栩如生 维妙维肖 绘声绘色
株连 连累
样子容貌 模样
核办 查办
核定 审定
核心 焦点
核查 核对
核阅 审阅
根基 根底
根底 根抵
根据 按照 凭据
根本 底子 基本
根除 肃除
格于环境 时势所迫
格外 非分特别
格局 款式
格式 花样 格局 花式
格斗 肉搏
格登 咯噔
桂林一枝 一枝独秀
桂花 木樨
案卷 檀卷
案牍 文案
桎梏 枷锁束缚 镣铐
档册 案卷 檀案
梗直 鲠直
梗阻 阻塞
梢公 艄公
梦境 黑甜乡 梦乡
梦寐以求 求之不得
梦幻泡影 海市蜃楼 幻梦成空 镜花水月
梦想 胡想
梦熊 弄璋
梦话 梦呓
梨园 戏班
梯己 体己
梵学 佛学
梵宇 佛寺
梵衲 沙门
检举 揭发
检修 检验
检察 查看 审查
检查 搜检
检点 检束 检核 检核检束
检阅场 演武厅
检验 磨练 检讨
棉籽 棉子
棒棰 棒槌
棘手 辣手
楚楚可怜 我见犹怜
楷模 表率
概括 归纳综合
概率 几率
榔头 鎯头
榜书 署书
榜样 楷模 模范
樊笼 牢笼
模仿 模拟
模型 模子
模样 样子
模样形状 式样 神情 神态
模糊 恍惚
模胡 模糊
模范 圭表标准 圭臬标准
横七竖八 杂乱无章
横亘 绵亘
横征暴敛 苛捐杂税
横暴 凶残
横目 怒目
横行无忌 横行霸道
横行霸道 胡作非为 无法无天 妄作胡为 作奸犯科
次序 顺序
次日 第二天
次第 次序递次
次货 劣货
欢乐 欢喜 欢欣
欢呼 喝彩
欢天喜地 眉飞色舞
欢快 欢畅
欢忻 忻忭
欢欣鼓舞 兴高采烈
欢畅 欢乐
欢腾 欢娱 欢悦 欢跃
欢迎 迎接 接待
欣然 怅然
欣赏 浏览
欲望 愿望
欲罢不能 不能自休
欺世盗名 沽名钓誉
欺凌 欺负 欺压 凌辱
欺压 逼迫
欺诈 讹诈
欺负 欺侮
欺软怕硬 欺善怕恶
欺骗 诳骗 棍骗
款式 技俩 式子 名目 格式
款待 招待
款接 延接
款项 金钱 款子
歇工 停工 罢工
歇息 安歇 安息
歇手 罢手
歌功颂德 树碑立传
歌唱 讴歌
歌女 女乐
歌颂 称赞 称扬 赞颂 称誉 传颂 歌唱 颂扬 赞叹 称道 称颂 歌咏 赞扬
歕饭 喷饭
止境 尽头
正事主 本家儿 本事儿
正本清源 根本治理
正气凛然 大义凛然
正法 处死
正派 正直
正派人物 正人君子
正犯 首犯 主犯
正直 正大
正确 准确
正经八百 正经八摆
正视 重视
正路 正途
此中 其中
此中人 局内人
此人 这人
此后 尔后
此外 另外
此生 今生
此间 其间
步伐 程序 措施
步兵 步卒
步步为营 稳扎稳打
步调 步骤 步伐
步辇儿 步碾儿 步行
步队 队伍
武器 兵器
武备 军备
武艺 技艺
歧视 轻视
歧路 岔路 岔路支路
歧途 邪路
歪七扭八 歪歪扭扭
歪斜 倾斜
歪门邪道 旁门左道
歪风邪气 歪门邪道
歹徒 暴徒
歹徒横行 恶人得势
歹意 恶意
歹毒 恶毒
死乞白赖 死气白赖
死亡 灭亡
死去活来 起死回生
死心塌地 死心踏地
死有余辜 死不足惜
死板 古板
死罪 极刑
死而复活 死去活来
歼灭 消灭
殊不知 却不知
殊效 特效
残存 残余
残害 践踏糟踏
残忍 残暴
残暴 残酷
残破 残缺
残花败柳 枯枝败叶
残虐 肆虐
殒命 死亡
殚精竭虑 殚智竭力 殚思极虑 竭尽心思
殷勤 周到
殽杂 混淆
毁伤 损伤
毁坏 损坏
毁灭 扑灭
毁谤 诬蔑 讪谤
毋须着急 不用着急
母大虫 母老虎
母舅 舅父 娘舅
母范 母仪
母财 母钱
每个 每一个
每个月 每月
每况愈下 日就衰败
每天 天天
每年 每一年
每日 逐日
每时每刻 时时刻刻
每每 经常 常常 往往
毒品 福寿膏
毒害 迫害
毒手 辣手
毒杀 鸩杀
毒辣 狠毒
毒酒 鸩酒
比划 比画
比力 角力计较 斗劲 较量
比及 等到
比喻 比方
比如 好比
比年 频年 近年 连年
比年不登 比岁不登 岁比不登
比手划脚 指手画脚
比拟 对比
比方 例如 譬喻
比武 交锋 交手
比比皆是 触目皆是
比照 对照
比翼双飞 鸾凤和鸣 琴瑟同谱 凤凰于飞 琴瑟调和 琴瑟之好 琴瑟和谐 琴瑟同谐 鹿车共勉
比赛 竞赛 角逐
比较 对照 比力
比量齐观 同等看待
毕业 卒业 结业
毕命 去逝 断命 死灭
毕恭毕敬 必恭必敬
毕生 终生
毕竟 究竟
毗邻 邻接
毛病 漏洞 偏差
毛糙 粗糙
毫不 绝不
毫不勉强 心甘情愿
毫无所惧 肆无忌惮
民众 公众
民俗 风俗
民气 人心 民心
民贼 国贼
民间文学 通俗文学
民风 风气 民俗
气候 天气
气力 实力
气势 气焰
气吞山河 气势磅礡 气壮山河 声势浩大 叱咤风云
气味 气息
气壮山河 气贯长虹
气度 气宇
气息奄奄 人命危浅
气愤 愤恚 生气
气昂昂 雄赳赳
气概 气势
气象 景象形象
气贯长虹 气冲牛斗
气门心 气门芯
气魄 气势 派头
气鼓鼓 怒冲冲 气冲冲
氛围 空气 气氛
水分 水份
水到渠成 瓜熟蒂落
水天相接 水天一线
水患 水灾
水手 海员
水滴石穿 积习沉舟
水火不容 方枘圆凿
水火倒悬 水深火热
水点 水滴
水落石出 内情毕露
水费 船脚 水脚
水长船高 水涨船高
永世 永久
永久 永远
永劫 长时
永恒 永久
永远贬抑 不再任用
求全谴责 斥责 责怪 责难 责骂
求助 乞助
求学 肄业
求教 请教
求饶 讨饶
汇合 会合
汇聚 会聚
汇集 聚集
汉文 华文
汉朝 汉代
汗出如浆 汗流浃背
汗如雨下 汗出如浆
汗流浃背 汗如雨下
汗青 历史
江山 山河
江干 江畔
江心补漏 临渴掘井
江河日下 一落千丈
池塘 水池
池沼 沼泽
池鱼之殃 无妄之灾
污七八糟 乱七八糟
污流 浊流
污蔑 歪曲
汤匙 汤勺
汲取 罗致 吸取
汲深绠短 心余力绌
汹涌 澎湃
汹涌澎拜 风起云涌
沁人心脾 动人肺腑
沁人肺腑 沁人心脾
沃田 肥田
沆瀣一气 狼狈为奸
沉寂 寂静
沉思 寻思
沉沦 沉溺
沉浸 沉醉
沉湎 沉沦
沉溺 沉湎
沉溺堕落 沦落
沉着 镇静 冷静
沉迷 陷溺
沉重 繁重
沉闷 烦闷
沉静 沉寂
沉默 缄默 缄默沉静
沐浴 洗澡
沐猴而冠 衣冠禽兽
沐雨栉风 吸风饮露
沙哑 嘶哑
沙壶 砂壶
沙岸 沙滩
沙浆 砂浆
沙糖 砂糖
沙锅 砂锅
沙鱼 鲨鱼
沟渠 水渠 水沟
没关系 不妨事 不妨 没紧要
没头没脑 劈头盖脸
没有将 未将
没精打彩 愁眉苦脸
没落 衰败
没顶 溺毙
沥血以誓 歃血为盟
沦亡 消亡
沦陷 陷落 沦亡 失陷
沧海一粟 九牛一毫
沧海微尘 太仓一粟
沧海横流 祸乱滔天
河东狮吼 畏妻如虎
河伯 河神
河清海晏 水静无波
河滨 河干
河边 河滨 河畔
河道 河流
沸水 滚水
油头滑脑 油嘴滑舌
油滑 世故
治罪 定罪
沾光 叨光
沾染 感染
沾沾自喜 洋洋得意
沾花惹草 招蜂引蝶
泄漏 泄露
泄漏天机 透露机密
泄电 漏电
泅水 拍浮
泉源 来源 根源
泊岸 靠岸
泊车 停车
法例 法规
法则 轨则 法例
法场 刑场
法子 方法
法度 法式
法式 轨范
法律 法令 司法 功令
法术 神通 术数
法眼 高眼
法纪 纲纪
法网恢恢 天道好还 天网恢恢
法衣 僧衣
法规 律例
法门 秘诀
泛博 广大
泛论 总论
泡茶 沏茶
波折 妨害 挫折 荆棘
波浪 海浪
波澜 波涛
波澜壮阔 汹涌澎湃
泥像 塑像
泥土 土壤
泥坑 泥淖
泥沙俱下 牛骥同皁 牛骥同皂 龙蛇混杂
泥淖 泥塘
注射 打针
注意 注重 留意
注意灌输 灌入
注水 灌水
注目 注视
注视 谛视
注重 重视
泪如泉涌 两眼汪汪
泪流满面 泣如雨下 泣不成声 泪如泉涌 泪眼汪汪 两泪汪汪 泪如雨下
泯没 湮灭
泯灭 耗费
泰山其颓 大星殒落 泰山殒落
泰平承平 升平平安
泰西 欧美 西洋
泼妇 悍妇
泾渭不分 牝牡骊黄
洁净 干净
洁白 雪白 皎白 皎洁皎洁 明净
洁身自好 明哲保身
洁身自爱 守身如玉
洋溢 弥漫
洋火 火柴 磷寸
洋芋 土豆
洋蜡 白蜡
洋装 西服
洒脱 潇洒
洗手不干 脱胎换骨
洗沐 冲凉
洗浴 沐浴
洗濯 清洗
洗练 洗炼
洗面革心 改头换面
洞居 穴居
洞开 敞开
洞烛奸邪 明镜高悬
洞穴 洞窟 窟窿
洞若观火 了如指掌
津润 滋润
洪亮 嘹亮
洪福 鸿福
活动 举动 运动 流动 举止 勾当
活埋 生坑
活捉 生擒
活气 活力
活泼 活跃
活着 在世
活结 活扣
活路 生路
活龙活现 活灵活现
洽商 卡脖子 洽谈
派别 家数
派头 气派
流亡 亡命
流传 撒播 撒布
流派 派别 门户
流浪 飘泊 落难 流离 飘流
流畅 流通 流利
流芳千古 万古长青
流芳百世 千古流芳 千古留名 千载扬名
流落 漂泊
流行 风行
流言 蜚语
流连 留连
流通 畅通流畅 畅通
流露 吐露
浅易 简易
浅显 浅易
浅薄 陋劣 浅陋
浅近 浅显
浇愁 解愁
浇薄 浇漓
测字 拆字
测量 丈量
测验 考试
济困扶危 雪中送炭
济困解危 雪中送炭
济急 救急
济济一堂 座无虚席
浏览 阅读
浑厚 浑朴
浑水摸鱼 混水摸鱼
浑沌 混沌
浑浊 污浊 混浊
浑身 满身
浑金璞玉 天真未凿
浓云 彤云
浓厚 浓郁 浓重 粘稠 稠密
浓妆艳抹 浓装艳裹 花枝招展
浓烈 浓郁
浓艳 冶艳
浩叹 长叹
浩大 浩荡
浩浩荡荡 声势赫赫
浩瀚 浩大
浩繁 众多
浪荡 游荡
浪费 华侈 浪掷 铺张 虚耗
浪迹江湖 到处为家
浮光掠影 走马看花
浮名 谰言 流言 虚名 坏话 空名
浮图 浮屠
浮夸 夸张
浮家泛宅 水上人家
浮水衣 救生衣
浮泛 空洞
浮浅 浅薄
浮滑 轻浮 轻狂 轻薄
浮现 显现
浮皮蹭痒 浮皮潦草
浮薄 佻达
浮躁 急躁
浴池 混堂
海内 国内
海军 水师 水兵
海员 舵手 船员
海市蜃楼 空中楼阁
海底捞针 海中捞月 江中钓月
海潮 浪潮
海疆 海域
海角天涯 天涯海角
海誓山盟 天长地久
海阔天空 放言高论
海阪 海隅
浸没 淹没
浸礼 洗礼
浸透 渗透
消声匿迹 偃旗息鼓
消失 消逝
消息 新闻
消散 消失
消歇 销歇
消溶 溶化
消灭 没落 覆灭 祛除
消灭净尽 鸡犬不留
消瘦 瘦削
消耗 耗损 消费
消退 消弱
消逝 磨灭
消除 消弭
消魂 销魂
涉及 触及
涉猎 浏览
涌现 出现
涓滴 丝毫
涕零 涕泣
涣散 散漫
润泽 滋润
润色 润饰
润饰 修饰
涵养 修养
淘气 顽皮
淘汰 减少 裁减 裁汰
淡泊 恬澹
淡漠 冷淡 冷漠
淡然 澹然
淡色 浅色
淡薄 稀薄
淫雨 霪雨
深入 深切
深刻 深入
深厚 深挚
深奥 深邃
深思 沉思
深思熟虑 深图远虑
深沉 深邃深挚
深湛 精深
深省 深醒
深藏若虚 守愚藏拙
深谷 幽谷
深造 进修
深邃 艰深
淳厚 质朴
淳朴 浑厚
混乱 紊乱 杂沓
混合 夹杂
混同 混淆
混居 杂居
混杂 混同
混淆 搅浑 混合
混淆黑白 混淆视听
混蛋 忘八
混身 浑身
淹没 沉没 覆没
淹没消灭 泯没
淹灭 泯灭
添枝加叶 节外生枝
添油加醋 添枝接叶
添补 加添 填充
清冷 清凉
清平世界 太平时世
清幽 幽静
清彻 清澈
清扫 打扫
清早 清晨
清晨 早晨
清朗 明亮清明
清朝 清代
清楚 清晰
清洁 洁净
清澈 清亮
清爽 清新
清理 清算
清癯 清瘦
清秀 秀气
清脆 响亮
清苦 清贫
清醒 苏醒
清闲 空隙 安逸 逍遥 悠闲
清除 断根 消灭 肃清 排除
清静 平静
清风明月 月白风清
渎职 溺职
渐渐 逐渐 逐步
渗入 渗透
渗入渗出 渗透
渡水 涉水
渣滓 残余
温和 平和 温文 暖和 温顺
温文尔雅 文质彬彬
温暖 暖和
温柔 温顺
温顺 和顺
港口 口岸
渲染 衬着
渴念 孺慕
渴慕 渴仰
渴望 盼望 渴想 巴望
游勇 浪人
游客 旅客
游戏人间 逢场作戏
游泳 泅水
游览 旅游
渺不可测 深奥无极
渺小 细微
渺远 邈远
湔雪 洗雪
湿淋淋 湿漉漉
湿渌渌 湿漉漉
溃脓 殨脓
源头 泉源
源源不绝 绵绵不断
源源而来 滔滔而至
溘然长逝 撒手尘寰
溜达 散步
溶化 熔解
溶解 消融
溺爱 宠嬖
滂沱大雨 倾盆大雨
滂湃 倾盆 滂沱
滋扰 干扰
滋润 润泽津润
滋长 滋生
滑冰 溜冰
滑头 狡徒
滑稽突梯 诙谐百出
滚动 转动
滚存 结存
滚滚 滔滔
滚蛋 滚开
满不在乎 毫不在意
满坑满谷 车载斗量
满城风雨 沸沸扬扬
满堂 举座 合座
满意 对劲 惬心 写意 合意 惬意 满足
满是 尽是 全是
满盈 充塞 充满 充斥
满目荒凉 十室九空
满腔怒火 义愤填膺
满腹经纶 学富五车
满足 知足
满身 混身 全身
滥杀无辜 杀人如麻 草菅人命 视如草芥
滥觞 前导发轫
滴下 淌下
滴水不漏 点水不漏
漂亮 标致 时兴 大度 摩登
漂泊 漂浮 漂流
漂流 飘流
漂渺 飘渺
漂零 飘零
漆黑 黝黑
漏洞 缝隙 破绽
漏网之鱼 丧家之犬
演出 表演
演变 演化
演练 练习训练
演艺界 演艺圈
漠不关心 见死不救 隔山观虎斗 缩手旁观
漠然 淡然
漠视 无视
漫不经心 魂不守舍 心不在焉 漠不关心
漫步 安步 缓步 信步 溜达
漫笔 短文 随笔
漫衍 分布
漫谈 闲谈 座谈
漫骂 乱骂
潜伏 潜在 暗藏 窜伏 隐蔽
潦倒穷困 穷困潦倒
潮流 潮水
潮湿 湿润
澄彻 澄澈
澈底 透澈
澈底觉悟 大澈大悟
澎湃 彭湃
澹泊 恬淡
激发 激起
激忿 激愤
激情亲切 热忱
激愤 激怒
激战 苦战
激昂 激动慷慨
激流 急流
激烈 剧烈
激辩 舌战
灌溉 浇灌
灌输 灌注贯注
灌音 录音
火上加油 泼油救火
火上浇油 推波助澜
火伞高张 烈日当空
火伴 伙伴
火化 火葬
火头 庖丁
火急 急切 弁急
火把 火炬
火油 煤油
火线 前方 前线
火药 炸药
火警 失火 火灾
火锅 暖锅
火食 人烟
灭亡 衰亡 消亡
灭尽 灭绝
灭顶 没顶 溺死
灯号 暗记 暗号
灯心 灯芯
灯火辉煌 火树银花
灯烛辉煌 灯火辉煌
灯红酒绿 醉生梦死 花天酒地
灯胆 灯泡
灯芯 灯炷
灰尘 尘埃
灰心 气馁 泄气
灰心丧气 没精打彩 暮气沉沉 心灰意懒
灰暗 昏暗
灵便 灵活
灵巧 工致 灵便 乖巧
灵敏 活络
灵柩 棺木
灵榇 灵柩
灵活 矫捷 天真 灵动
灵药 妙药
灵魂 魂灵
灼烁 光明
灾害 灾难
灾民 哀鸿 流民
灾祸 灾难
灾黎 难民
灿烂 光辉 光耀
炊事 伙食
炒鱿鱼 卷铺盖
炫目 夺目
点头 颔首
点头答应 颔首应承
点火 焚烧
点窜 编削 改削
炼坊 冶坊
炽热 灼热
烂帐 漂帐
烂漫 烂缦
烂醉如泥 玉山颓倒
烈火 猛火
烈焰 炎火
烘托 衬托
烟消云散 云消雾散
烟消火灭 风流云散
烟火 炊火
烦厌 腻烦
烦恼 懊恼
烦懑 不快
烦躁 焦躁
烦闷 烦懑 愁闷 纳闷 抑郁
烧毁 销毁
烧灼 炙烤
烧饭 煮饭
热中 热衷
热乎 热呼
热乎乎 热呼呼
